# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
0 0 90.0000 90.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 1 90.0000 85.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 2 90.0000 80.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 3 90.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 4 90.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 5 90.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 6 90.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 7 90.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 8 90.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 9 90.0000 45.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 10 90.0000 40.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 11 90.0000 35.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 12 90.0000 30.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 13 90.0000 25.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 14 90.0000 20.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 15 90.0000 15.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 16 90.0000 10.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0 17 90.0000 5.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 0 85.0000 90.0000 8.9478e-02 1.2208e+03 1.4558e+04 5.0943e-32
1 1 85.0000 85.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 2 85.0000 80.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 3 85.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 4 85.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 5 85.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 6 85.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 7 85.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 8 85.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 9 85.0000 45.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 10 85.0000 40.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 11 85.0000 35.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 12 85.0000 30.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 13 85.0000 25.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 14 85.0000 20.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 15 85.0000 15.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 16 85.0000 10.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1 17 85.0000 5.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 0 80.0000 90.0000 1.7329e-01 5.7119e+02 6.4597e+03 1.8147e-22
2 1 80.0000 85.0000 9.8122e-02 7.1047e+01 4.4589e+01 1.4377e-17
2 2 80.0000 80.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 3 80.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 4 80.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 5 80.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 6 80.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 7 80.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 8 80.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 9 80.0000 45.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 10 80.0000 40.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 11 80.0000 35.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 12 80.0000 30.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 13 80.0000 25.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 14 80.0000 20.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 15 80.0000 15.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 16 80.0000 10.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2 17 80.0000 5.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 0 75.0000 90.0000 2.5800e-01 4.3614e+02 8.8621e+03 3.8747e-18
3 1 75.0000 85.0000 1.8271e-01 5.7099e+01 5.0238e+01 5.2896e-12
3 2 75.0000 80.0000 1.0569e-01 4.5142e+01 3.4275e+01 6.1721e-10
3 3 75.0000 75.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 4 75.0000 70.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 5 75.0000 65.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 6 75.0000 60.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 7 75.0000 55.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3 8 75.0000 50.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
